"age group","county name","cases","deaths","hospitalization"
"<1 years","Floyd","41","0","2"
"Unknown years","Floyd","109","0","1"
"01-04 years","Forsyth","164","0","1"
"05-09 years","Forsyth","395","0","2"
"10-17 years","Forsyth","1529","0","5"
"18-29 years","Forsyth","2627","0","41"
"30-39 years","Forsyth","1860","0","56"
"40-49 years","Forsyth","2404","4","110"
"50-59 years","Forsyth","2251","9","146"
"60-69 years","Forsyth","1174","11","132"
"70-79 years","Forsyth","735","37","197"
"80 & Older years","Forsyth","440","54","132"
"<1 years","Forsyth","42","0","3"
"Unknown years","Forsyth","1029","0","2"
"01-04 years","Franklin","12","0","1"
"05-09 years","Franklin","48","0","0"
"10-17 years","Franklin","166","0","5"
"18-29 years","Franklin","399","0","9"
"30-39 years","Franklin","274","0","3"
"40-49 years","Franklin","312","0","12"
"50-59 years","Franklin","314","0","20"
"60-69 years","Franklin","281","3","33"
"70-79 years","Franklin","162","15","30"
"80 & Older years","Franklin","75","13","19"
"<1 years","Franklin","8","0","1"
"Unknown years","Franklin","99","0","2"
"01-04 years","Fulton","798","0","17"
"05-09 years","Fulton","1337","0","11"
"10-17 years","Fulton","4289","1","40"
"18-29 years","Fulton","18348","5","292"
"30-39 years","Fulton","13337","18","414"
"40-49 years","Fulton","10577","30","490"
"50-59 years","Fulton","9491","78","687"
"60-69 years","Fulton","5621","167","670"
"70-79 years","Fulton","3046","233","594"
"80 & Older years","Fulton","2175","395","604"
"<1 years","Fulton","183","0","7"
"Unknown years","Fulton","289","0","4"
"01-04 years","Gilmer","28","0","2"
